label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved,ISR,CSR,ep_length
random_d0_a8,pico_s.*_od0_na32,8,0,18.431828849,0.43,True,1.0,1.0,24.125
random_d0_a8,pico_s.*_od0_na32,8,1,22.049257496,0.36,True,1.0,1.0,19.625
random_d0_a8,pico_s.*_od0_na32,8,2,19.172217095,0.42,True,1.0,1.0,21.25
random_d0_a16,pico_s.*_od0_na32,16,0,36.928709233,0.43,True,1.0,1.0,20.5
random_d0_a16,pico_s.*_od0_na32,16,1,39.737396409,0.4,True,1.0,1.0,21.4375
random_d0_a16,pico_s.*_od0_na32,16,2,40.148718884,0.4,True,1.0,1.0,21.125
random_d0_a32,pico_s.*_od0_na32,32,0,67.407264666,0.47,True,1.0,1.0,21.28125
random_d0_a32,pico_s.*_od0_na32,32,1,73.713253839,0.43,True,1.0,1.0,23.78125
random_d0_a32,pico_s.*_od0_na32,32,2,60.923499152,0.53,True,1.0,1.0,23.71875
random_d30_a8,pico_s.*_od30_na32,8,0,11.034587153,0.72,True,0.75,0.0,108.125
random_d30_a8,pico_s.*_od30_na32,8,1,23.589333042,0.34,True,1.0,1.0,34.75
random_d30_a8,pico_s.*_od30_na32,8,2,20.374638565,0.39,True,1.0,1.0,27.125
random_d30_a16,pico_s.*_od30_na32,16,0,16.354223319,0.98,True,0.625,0.0,120.8125
random_d30_a16,pico_s.*_od30_na32,16,1,41.753971176,0.38,True,1.0,1.0,33.5
random_d30_a16,pico_s.*_od30_na32,16,2,32.80397874,0.49,True,1.0,1.0,35.75
random_d30_a32,pico_s.*_od30_na32,32,0,22.848090607,1.4,True,0.65625,0.0,108.84375
random_d30_a32,pico_s.*_od30_na32,32,1,54.379081221,0.59,True,1.0,1.0,39.0
random_d30_a32,pico_s.*_od30_na32,32,2,56.669945135,0.56,True,1.0,1.0,39.34375
den520d_a32,den520d,32,2,2.621781827,12.21,True,0.84375,0.0,158.28125,
empty-16-16_a8,empty-16-16,8,0,247.501013206,0.03,True,1.0,1.0,10.5,
empty-16-16_a8,empty-16-16,8,1,254.177825602,0.03,True,1.0,1.0,10.5,
empty-16-16_a8,empty-16-16,8,2,134.742041163,0.06,True,1.0,1.0,10.5,
empty-16-16_a16,empty-16-16,16,0,362.76623584,0.04,True,1.0,1.0,10.125,
empty-16-16_a16,empty-16-16,16,1,352.435941409,0.05,True,1.0,1.0,10.125,
empty-16-16_a16,empty-16-16,16,2,351.748085758,0.05,True,1.0,1.0,10.125,
empty-16-16_a32,empty-16-16,32,0,298.846355011,0.11,True,1.0,1.0,11.84375,
empty-16-16_a32,empty-16-16,32,1,289.486208298,0.11,True,1.0,1.0,11.84375,
empty-16-16_a32,empty-16-16,32,2,294.223881351,0.11,True,1.0,1.0,11.84375,
empty-32-32_a8,empty-32-32,8,0,86.16759837,0.09,True,1.0,1.0,22.375,
empty-32-32_a8,empty-32-32,8,1,89.920002557,0.09,True,1.0,1.0,22.375,
empty-32-32_a8,empty-32-32,8,2,87.83245669,0.09,True,1.0,1.0,22.375,
empty-32-32_a16,empty-32-32,16,0,142.6967428,0.11,True,1.0,1.0,23.3125,
empty-32-32_a16,empty-32-32,16,1,142.432319388,0.11,True,1.0,1.0,23.3125,
empty-32-32_a16,empty-32-32,16,2,157.708061856,0.1,True,1.0,1.0,23.3125,
empty-32-32_a32,empty-32-32,32,0,287.521659703,0.11,True,1.0,1.0,20.9375,
empty-32-32_a32,empty-32-32,32,1,232.776567186,0.14,True,1.0,1.0,20.9375,
empty-32-32_a32,empty-32-32,32,2,290.254893322,0.11,True,1.0,1.0,20.9375,
empty-48-48_a8,empty-48-48,8,0,55.296243056,0.14,True,1.0,1.0,25.0,
empty-48-48_a8,empty-48-48,8,1,66.407998658,0.12,True,1.0,1.0,25.0,
empty-48-48_a8,empty-48-48,8,2,50.00215478,0.16,True,1.0,1.0,25.0,
empty-48-48_a16,empty-48-48,16,0,108.366990258,0.15,True,1.0,1.0,24.0,
empty-48-48_a16,empty-48-48,16,1,115.951123587,0.14,True,1.0,1.0,24.0,
empty-48-48_a16,empty-48-48,16,2,100.724226705,0.16,True,1.0,1.0,24.0,
empty-48-48_a32,empty-48-48,32,0,156.924603392,0.2,True,1.0,1.0,28.40625,
empty-48-48_a32,empty-48-48,32,1,127.700476489,0.25,True,1.0,1.0,28.40625,
empty-48-48_a32,empty-48-48,32,2,124.383177506,0.26,True,1.0,1.0,28.40625,
empty-8-8_a8,empty-8-8,8,0,331.914716006,0.02,True,1.0,1.0,7.25,
empty-8-8_a8,empty-8-8,8,1,297.764218756,0.03,True,1.0,1.0,7.25,
empty-8-8_a8,empty-8-8,8,2,238.884545337,0.03,True,1.0,1.0,7.25,
